F, CR, fitness
0.583203125, 0.666015625, 4.872790524818296E-60
0.8269531250000001, 0.072265625, 1.2838657105501148E-51
1.801953125, 0.547265625, 1163.267763687374
1.314453125, 0.309765625, 0.018054472504564514
0.33945312499999997, 0.784765625, 13.656125558455427
0.461328125, 0.250390625, 3.704671112488928E-114
1.436328125, 0.7253906250000001, 1170.1225769510497
1.923828125, 0.48789062499999997, 1173.2624935390706
0.948828125, 0.962890625, 365.6392795638586
0.705078125, 0.369140625, 5.6330772580994E-45
1.680078125, 0.844140625, 1180.5703482435395
1.192578125, 0.131640625, 1.841891399893809E-21
0.217578125, 0.606640625, 20.432554707337445
0.278515625, 0.161328125, 1.5946524492278967E-08
1.253515625, 0.636328125, 1072.4479595778764
1.741015625, 0.398828125, 951.3143215192484
0.766015625, 0.873828125, 2.9247613340041196E-20
1.009765625, 0.517578125, 0.02218312564614694
1.984765625, 0.992578125, 1177.8231964136164
1.497265625, 0.280078125, 0.46684849177408927
0.522265625, 0.755078125, 1.3213338593964913E-92
0.400390625, 0.33945312499999997, 4.748782500271765E-140
1.375390625, 0.814453125, 1170.1725297925889
1.862890625, 0.101953125, 1.4140235449604847E-08
0.887890625, 0.5769531250000001, 3.9319167608926815E-06
0.644140625, 0.220703125, 5.051556160910251E-69
1.619140625, 0.695703125, 1189.9222973020126
1.131640625, 0.458203125, 0.676375185967434
0.156640625, 0.933203125, 458.8603419156923
0.126171875, 0.17617187499999998, 6.0673075237834935
1.101171875, 0.6511718750000001, 443.57251152814496
1.588671875, 0.41367187499999997, 819.4113891466443
0.613671875, 0.888671875, 9.520498234248265E-68
0.857421875, 0.294921875, 3.6749256426072152E-28
1.832421875, 0.769921875, 1178.2605535537004
1.344921875, 0.057421875000000004, 1.742933145221114E-26
0.36992187499999996, 0.532421875, 2.940448362247089E-08
0.49179687499999997, 0.473046875, 4.7936533833931497E-104
1.466796875, 0.948046875, 1198.6413659031193
1.954296875, 0.235546875, 22.085458331926738
0.9792968750000001, 0.710546875, 7.3088221241486435
0.735546875, 0.116796875, 6.267471921651434E-59
1.710546875, 0.591796875, 1192.7590967826582
1.223046875, 0.35429687499999996, 0.018289425217482756
0.248046875, 0.829296875, 118.56236417546079
0.18710937500000002, 0.383984375, 5.299432905014408
1.162109375, 0.858984375, 1095.4698234219925
1.649609375, 0.146484375, 4.875154843731368E-07
0.6746093750000001, 0.621484375, 2.9277219391354043E-33
0.918359375, 0.26523437499999997, 1.2121966982909118E-24
1.893359375, 0.740234375, 1169.9701377407957
1.405859375, 0.502734375, 951.9910198628421
0.430859375, 0.977734375, 50.85552842770383
0.308984375, 0.087109375, 2.395213814030832E-117
1.283984375, 0.562109375, 958.9327025108747
1.771484375, 0.324609375, 319.99376214385285
0.796484375, 0.799609375, 1.1166912956280155E-10
0.552734375, 0.44335937499999994, 2.4583854971239163E-81
1.527734375, 0.918359375, 1188.7432740069926
1.040234375, 0.205859375, 3.0176203831855474E-21
0.065234375, 0.680859375, 250.33317804092331
0.0728515625, 0.3654296875, 80.93232597060599
1.0478515625, 0.8404296875, 353.2438559896062
1.5353515625, 0.1279296875, 4.9766871883617036E-11
